OscP5 0.9.9 infos, comments, questions at http://www.sojamo.de/oscP5

### [2018/4/13 13:54:11] PROCESS @ OscP5 stopped.
### [2018/4/13 13:54:11] PROCESS @ UdpClient.openSocket udp socket initialized.
### [2018/4/13 13:54:12] PROCESS @ UdpServer.start() new Unicast DatagramSocket created @ port 5002
### [2018/4/13 13:54:12] PROCESS @ UdpServer.run() UdpServer is running @ 5002
### [2018/4/13 13:54:12] INFO @ OscP5 is running. you (128.206.21.52) are listening @ port 5002
TimeStamp, Alpha, Beta, Delta, Gamma, Theta

2018-04-13 13:54:13.043,=(0.2513075118512917+ 0.1750442905779343+0.6783520370948048+0.6696423407959426)/4,=(0.8143945405551164+ 0.38735254900884536+0.89248259937624+0.8093864146803263)/4,=(0.5523122666974096+ 0.6786696196120378+0.9570119546030738+1.082144963555827)/4,=(0.35325286013074947+ 0.22551054363256945+0.30547266487043495+0.7785881255008762)/4,=(0.2694970572210679+ 0.2998692242005254+0.7328521764115364+0.5199344180801614)/4,
2018-04-13 13:54:13.127,=(0.2513075118512917+ 0.17402256608103622+0.6783520370948048+0.6696423407959426)/4,=(0.8143945405551164+ 0.3645476559685008+0.89248259937624+0.8093864146803263)/4,=(0.5523122666974096+ 0.7289614485150485+0.9570119546030738+1.082144963555827)/4,=(0.35325286013074947+ 0.2867709197621415+0.30547266487043495+0.7785881255008762)/4,=(0.2694970572210679+ 0.3109425585448769+0.7328521764115364+0.5199344180801614)/4,
2018-04-13 13:54:13.264,=(0.2513075118512917+ 0.17301132496086014+0.6783520370948048+0.6696423407959426)/4,=(0.8143945405551164+ 0.34385781451721387+0.89248259937624+0.8093864146803263)/4,=(0.5523122666974096+ 0.7862155499783842+0.9570119546030738+1.082144963555827)/4,=(0.35325286013074947+ 0.3576444860699879+0.30547266487043495+0.7785881255008762)/4,=(0.2694970572210679+ 0.32083991549962926+0.7328521764115364+0.5199344180801614)/4,
2018-04-13 13:54:13.371,=(0.2513075118512917+ 0.17301132496086014+0.6783520370948048+0.6696423407959426)/4,=(0.8143945405551164+ 0.3308375009559506+0.89248259937624+0.8093864146803263)/4,=(0.5523122666974096+ 0.8588145689060749+0.9570119546030738+1.082144963555827)/4,=(0.35325286013074947+ 0.4431476462612317+0.30547266487043495+0.7785881255008762)/4,=(0.2694970572210679+ 0.32018709180912075+0.7328521764115364+0.5199344180801614)/4,
2018-04-13 13:54:13.477,=(0.2513075118512917+ 0.17301132496086014+0.6783520370948048+0.6696423407959426)/4,=(0.8143945405551164+ 0.3308375009559506+0.89248259937624+0.8093864146803263)/4,=(0.5523122666974096+ 0.8588145689060749+0.9570119546030738+1.082144963555827)/4,=(0.35325286013074947+ 0.4431476462612317+0.30547266487043495+0.7785881255008762)/4,=(0.2694970572210679+ 0.32018709180912075+0.7328521764115364+0.5199344180801614)/4,
2018-04-13 13:54:13.54,=(0.2513075118512917+ 0.17301132496086014+0.6783520370948048+0.6696423407959426)/4,=(0.8143945405551164+ 0.3308375009559506+0.89248259937624+0.8093864146803263)/4,=(0.5523122666974096+ 0.8588145689060749+0.9570119546030738+1.082144963555827)/4,=(0.35325286013074947+ 0.4431476462612317+0.30547266487043495+0.7785881255008762)/4,=(0.2694970572210679+ 0.32018709180912075+0.7328521764115364+0.5199344180801614)/4,
2018-04-13 13:54:13.647,=(0.2513075118512917+ 0.17301132496086014+0.6783520370948048+0.6696423407959426)/4,=(0.8143945405551164+ 0.3308375009559506+0.89248259937624+0.8093864146803263)/4,=(0.5523122666974096+ 0.8588145689060749+0.9570119546030738+1.082144963555827)/4,=(0.35325286013074947+ 0.4431476462612317+0.30547266487043495+0.7785881255008762)/4,=(0.2694970572210679+ 0.32018709180912075+0.7328521764115364+0.5199344180801614)/4,
2018-04-13 13:54:13.754,=(0.2513075118512917+ 0.17301132496086014+0.6783520370948048+0.6696423407959426)/4,=(0.8143945405551164+ 0.3308375009559506+0.89248259937624+0.8093864146803263)/4,=(0.5523122666974096+ 0.8588145689060749+0.9570119546030738+1.082144963555827)/4,=(0.35325286013074947+ 0.4431476462612317+0.30547266487043495+0.7785881255008762)/4,=(0.2694970572210679+ 0.32018709180912075+0.7328521764115364+0.5199344180801614)/4,
2018-04-13 13:54:13.888,=(0.2513075118512917+ 0.17301132496086014+0.6783520370948048+0.6696423407959426)/4,=(0.8143945405551164+ 0.3308375009559506+0.89248259937624+0.8093864146803263)/4,=(0.5523122666974096+ 0.8588145689060749+0.9570119546030738+1.082144963555827)/4,=(0.35325286013074947+ 0.4431476462612317+0.30547266487043495+0.7785881255008762)/4,=(0.2694970572210679+ 0.32018709180912075+0.7328521764115364+0.5199344180801614)/4,
2018-04-13 13:54:13.954,=(0.2513075118512917+ 0.17301132496086014+0.6783520370948048+0.6696423407959426)/4,=(0.8143945405551164+ 0.3308375009559506+0.89248259937624+0.8093864146803263)/4,=(0.5523122666974096+ 0.8588145689060749+0.9570119546030738+1.082144963555827)/4,=(0.35325286013074947+ 0.4431476462612317+0.30547266487043495+0.7785881255008762)/4,=(0.2694970572210679+ 0.32018709180912075+0.7328521764115364+0.5199344180801614)/4,
